,Unnamed: 0,user_id,project_id,title,adult_content,description,instructions_flag,requester_id,requester_trusted_flag,project_stat,avg_money_hourly,moneyMed,moneyTop10,moneyMax3,pool_id,pool_started_at,task_attempted_flag,country,user_language,birth_day,joined,age
0,0,1316040758.0,49390.0,Entity image selection,1,"From the selection of images for the entity(person/place/thing), use the guidelines in the instructions to select the best image.",1,81ae1299dd10f764a6e59ac1c08a8a18,0,4.92,2.14286,0.04,0.06,0.0,36770631.0,2022-12-09T15:07:41.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
1,1,1316040758.0,49390.0,Entity image selection,1,"From the selection of images for the entity(person/place/thing), use the guidelines in the instructions to select the best image.",1,81ae1299dd10f764a6e59ac1c08a8a18,0,4.92,2.14286,0.04,0.06,0.0,36770631.0,2022-12-09T15:07:41.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
2,2,1316040758.0,49390.0,Entity image selection,1,"From the selection of images for the entity(person/place/thing), use the guidelines in the instructions to select the best image.",1,81ae1299dd10f764a6e59ac1c08a8a18,0,4.92,2.14286,0.04,0.06,0.0,36770631.0,2022-12-09T15:07:41.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
3,3,1316040758.0,49390.0,Entity image selection,1,"From the selection of images for the entity(person/place/thing), use the guidelines in the instructions to select the best image.",1,81ae1299dd10f764a6e59ac1c08a8a18,0,4.92,2.16867,0.04,0.06,0.0,36775179.0,2022-12-09T22:25:32.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
4,4,1316040758.0,49390.0,Entity image selection,1,"From the selection of images for the entity(person/place/thing), use the guidelines in the instructions to select the best image.",1,81ae1299dd10f764a6e59ac1c08a8a18,0,4.92,2.16867,0.04,0.06,0.0,36775179.0,2022-12-09T22:25:32.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
5,5,1316040758.0,49390.0,Entity image selection,1,"From the selection of images for the entity(person/place/thing), use the guidelines in the instructions to select the best image.",1,81ae1299dd10f764a6e59ac1c08a8a18,0,4.92,2.16867,0.04,0.06,0.0,36775179.0,2022-12-09T22:25:32.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
6,6,1316040758.0,54170.0,Microsoft Bing App test,1,"Hello performer,
First of all, you are welcome to participate in our activity. This activity is divided into two steps. You need to complete a short quiz and complete the following questions as required. If your accuracy is up to the standard, you can pass the quiz and enter the formal test Event, after the official event is reached, you can receive the reward you want; on the contrary, if the accuracy rate in the following test is not up to the standard or you do not respond as required, it will be regarded as a failure, and you will not be able to participate in the subsequent activities. I believe everyone It can be done, let's start now, come on!",1,cac5dc1b192cc52dc166e5a1fecf6161,0,4.54,0.0,0.0,0.0,0.0,35422387.0,2022-09-15T08:17:22.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
7,7,1316040758.0,54170.0,Microsoft Bing App test,1,"Hello performer,
First of all, you are welcome to participate in our activity. This activity is divided into two steps. You need to complete a short quiz and complete the following questions as required. If your accuracy is up to the standard, you can pass the quiz and enter the formal test Event, after the official event is reached, you can receive the reward you want; on the contrary, if the accuracy rate in the following test is not up to the standard or you do not respond as required, it will be regarded as a failure, and you will not be able to participate in the subsequent activities. I believe everyone It can be done, let's start now, come on!",1,cac5dc1b192cc52dc166e5a1fecf6161,0,4.54,0.0,0.0,0.0,0.0,35422387.0,2022-09-15T08:17:22.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
8,8,1316040758.0,54170.0,Microsoft Bing App test,1,"Hello performer,
First of all, you are welcome to participate in our activity. This activity is divided into two steps. You need to complete a short quiz and complete the following questions as required. If your accuracy is up to the standard, you can pass the quiz and enter the formal test Event, after the official event is reached, you can receive the reward you want; on the contrary, if the accuracy rate in the following test is not up to the standard or you do not respond as required, it will be regarded as a failure, and you will not be able to participate in the subsequent activities. I believe everyone It can be done, let's start now, come on!",1,cac5dc1b192cc52dc166e5a1fecf6161,0,4.54,0.0,0.0,0.0,0.0,35422409.0,2022-09-15T08:19:00.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
9,9,1316040758.0,54170.0,Microsoft Bing App test,1,"Hello performer,
First of all, you are welcome to participate in our activity. This activity is divided into two steps. You need to complete a short quiz and complete the following questions as required. If your accuracy is up to the standard, you can pass the quiz and enter the formal test Event, after the official event is reached, you can receive the reward you want; on the contrary, if the accuracy rate in the following test is not up to the standard or you do not respond as required, it will be regarded as a failure, and you will not be able to participate in the subsequent activities. I believe everyone It can be done, let's start now, come on!",1,cac5dc1b192cc52dc166e5a1fecf6161,0,4.54,0.0,0.0,0.0,0.0,35422409.0,2022-09-15T08:19:00.000Z,True,EG,"AR,EN,",1984-03-11,2021-01-13T00:00:00.000Z,38
